latitude,longitude,uuid,gattung_botanisch,gattung_deutsch,art_botanisch,art_deutsch,alleebaum,hoehe,stammdurchmesser,stammumfang,kronendurchmesser,baumpatenschaft
54.0576544618009,12.1008810742361,d04f4edf-c22b-481d-8140-f5da1203b9c7,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,0,8.00,,,6.00,0
54.0534633532839,12.0986576275933,9ac13cb1-d6fa-42ae-9374-0300965a97d7,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,0,8.00,,,6.00,0
54.068021298242,12.1235670809088,253aad1a-c704-40fb-8401-7d88f94559d2,Quercus,Eiche,Quercus robur,Stiel-Eiche,0,18.00,35.00,109.96,12.00,0
54.0681640395699,12.1137940990202,d7a4e358-8634-4497-988e-d2e51487d1cb,Acer,Ahorn,Acer saccharum,Zucker-Ahorn,0,20.00,50.93,160.00,9.20,0
54.0669127479027,12.1171714444506,aa50bcd3-125c-43d5-9859-9afa368c73e0,Quercus,Eiche,Quercus rubra,Amerikanische Roteiche,1,9.00,31.83,100.00,10.00,0
54.111396633352,12.1479385524797,e2d7ab85-8572-4168-abe6-c02b41a5e0a1,Gruppenbäume,Gruppenbäume,Fichten-Kiefer-Mischbestand,Fichten-Kiefer-Mischbestand,0,20.00,51.00,160.22,13.00,0
54.1306143530568,12.0519727784739,9a309ec8-f6a0-467e-b135-1a2d3a453381,Gruppenbäume,Gruppenbäume,Windschutz Laub-Mischbestand,Windschutz Laub-Mischbestand,0,,,,,0
54.06668151957,12.110640054871,d4fe8876-2634-4b13-b067-e45fafaa8f1e,Gruppenbäume,Gruppenbäume,Ahorn-Laub-Mischbestand,Ahorn-Laub-Mischbestand,0,,25.00,78.54,,0
54.1558451519659,12.0798523028504,7347e739-07fd-446e-b60b-ccd687a7c08f,Tilia,Linde,Tilia cordata,Winter-Linde,1,7.00,12.00,37.70,3.00,0
54.1335312862914,12.0541645702089,464d8168-41dd-49cc-a8cd-0d1bcb61c793,Tilia,Linde,Tilia platyphyllos,Sommer-Linde,1,8.00,26.00,81.68,7.00,0
54.0896672439434,12.1045951210298,4b1974a7-a680-4054-a105-a6761c75dd2b,Tilia,Linde,Tilia cordata „Greenspire“,Winter-Linde „Greenspire“,0,5.00,6.37,20.00,1.00,0
54.0772861530083,12.1894745633506,6a3c752f-a3fe-4a72-a03d-cd3a1aaa70b5,Acer,Ahorn,Acer pseudoplatanus,Berg-Ahorn,0,11.00,44.56,140.00,12.00,0
54.1319498673494,12.0702096730527,85e84c8e-02c6-4683-98a1-4838ff0b52c8,Quercus,Eiche,Quercus species,Eiche,0,3.00,13.00,40.84,1.00,0
54.0781840747102,12.1331788806047,7da2983c-dd97-4704-8be7-99f01bc2511e,Tilia,Linde,Tilia cordata „Greenspire“,Winter-Linde „Greenspire“,0,6.00,12.00,37.70,3.00,0
54.0578355017593,12.1009812607016,abe0eff9-7840-4722-a87e-3c9d67c79791,Acer,Ahorn,Acer pseudoplatanus,Berg-Ahorn,0,7.00,20.00,62.83,3.00,0
54.0760162343463,12.0862929725596,666059b7-c27a-4691-b15c-5f991adb993d,Acer,Ahorn,Acer species,Ahorn,0,18.00,35.01,110.00,8.00,0
54.0901107426762,12.1049741010872,7e404a9c-de4f-4e33-978f-b8ff2529c45d,Tilia,Linde,Tilia cordata „Greenspire“,Winter-Linde „Greenspire“,0,5.00,6.37,20.00,1.00,0
54.0923639276222,12.1525193249897,68c75583-a86c-46b4-beab-2135ad835a57,Betula,Birke,Betula species,Birke,0,11.00,15.00,47.12,3.50,0
